,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tmdb_ratings,images
0,0,0,0,Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Horror Mystery Thriller,insidious: the last key,6.2,https://m.media-amazon.com/images/M/MV5BMjQ3NTgzNjk4MF5BMl5BanBnXkFtZTgwNDE0MTUxNDM@.jpg
1,1,1,1,Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Thriller Drama,the strange ones,5.5,https://m.media-amazon.com/images/M/MV5BMTkzMWY2ZmYtMmE5ZC00ZmM1LWE1YjctYmYxNGYwY2E2MGRlXkEyXkFqcGdeQXVyMjU3NTI0Mg@@.jpg
2,2,2,2,Simon West,Dominic Cooper,Austin Stowell,Gemma Chan,Action Thriller,stratton,4.9,https://m.media-amazon.com/images/M/MV5BYzk4MzRkMmUtZjIzYi00YzBhLWIyMjctMWM4ZWMwMWE0OTk4XkEyXkFqcGdeQXVyMzQwMTY2Nzk@.jpg
3,3,3,3,Warwick Thornton,Bryan Brown,Sam Neill,unknown,Drama History Western,sweet country,6.7,https://m.media-amazon.com/images/M/MV5BNDhkMzY5NzYtYWQ4MC00ZjA0LWJkN2EtYjExN2I0NjdjODVjXkEyXkFqcGdeQXVyMjE4NzUxNDA@.jpg
4,4,4,4,Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Action Thriller,the commuter,6.3,https://m.media-amazon.com/images/M/MV5BMTc0NDg1MjI4OV5BMl5BanBnXkFtZTgwMDIwMTEwNDI@.jpg
5,5,5,5,Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover,Thriller Action Crime,proud mary,5.5,https://m.media-amazon.com/images/M/MV5BMjA1MjI3MDU1MF5BMl5BanBnXkFtZTgwMjYwMTkxNDM@.jpg
6,6,6,6,Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Action,acts of violence,5.8,https://m.media-amazon.com/images/M/MV5BMjM3NzI1NDMyNl5BMl5BanBnXkFtZTgwNzUyMDgzNDM@.jpg
7,7,7,7,Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler,Comedy Drama,freak show,7.2,https://m.media-amazon.com/images/M/MV5BYTJiNmE2YTQtNzE4NC00NTk5LWEyYmMtYzMzMWMwZjc1YWNjXkEyXkFqcGdeQXVyNjU0NTI0Nw@@.jpg
8,8,8,8,Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Comedy,humor me,6.5,https://m.media-amazon.com/images/M/MV5BYmY2OTQ1MzEtNDRjNS00MTBmLTgxZmUtNWJlOGY1Mzg1MjdiXkEyXkFqcGdeQXVyMjkxMTYyMTQ@.jpg
9,9,9,9,Daniela Thomas,Adriano Carvalho,Luana Nastas,unknown,Drama,vazante,7.9,https://m.media-amazon.com/images/M/MV5BOGU5MzQ2MTItZTA2Yi00Y2JjLWI0MmMtNTZlOTExZWVhNGEzXkEyXkFqcGdeQXVyNDU0NjMyNTQ@.jpg
10,10,10,10,Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet,Fantasy Adventure Animation,mary and the witch's flower,7.1,https://m.media-amazon.com/images/M/MV5BNDVkYmFiNmQtMjc3Ni00YTY5LTk0NTAtZDc4YjZiZjU2YjNlXkEyXkFqcGdeQXVyMjM4NTM5NDY@.jpg
11,11,11,11,Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peýýa,Drama Action History War,12 strong,6.0,https://m.media-amazon.com/images/M/MV5BNTEzMjk3NzkxMV5BMl5BanBnXkFtZTgwNjY2NDczNDM@.jpg
12,12,12,12,Christian Gudegast,Gerard Butler,50 Cent,Pablo Schreiber,Action Thriller Crime,den of thieves,6.7,https://m.media-amazon.com/images/M/MV5BMzYyODcwMDAyM15BMl5BanBnXkFtZTgwOTA4MjIwNDI@.jpg
13,13,13,13,Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Romance Drama Music,forever my girl,7.6,https://m.media-amazon.com/images/M/MV5BMjAwNTA5NTYyNl5BMl5BanBnXkFtZTgwMDIzMzA2MzI@.jpg
14,14,14,14,Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Action Science Fiction,maze runner: the death cure,7.1,https://m.media-amazon.com/images/M/MV5BMTYyNzk3MDc2NF5BMl5BanBnXkFtZTgwMDk3OTM1NDM@.jpg
15,15,15,15,Ziad Doueiri,Adel Karam,Camille Salameh,Kamel El Basha,Comedy Crime,the insult,6.5,https://m.media-amazon.com/images/M/MV5BZTI1NGM1YjgtZjgzNS00MmYxLWIyYmYtOTUwNjA0YmYyN2E5XkEyXkFqcGdeQXVyNjc0MzY3NTA@.jpg
16,16,16,16,Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Comedy Drama,please stand by,6.8,https://m.media-amazon.com/images/M/MV5BMTU3MzUzMjIxMV5BMl5BanBnXkFtZTgwODY5MTIzNDM@.jpg
17,17,17,17,The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Fantasy Mystery Thriller Horror,winchester,5.9,https://m.media-amazon.com/images/M/MV5BMjI2OWE5OGItMTE4Yi00ZmIzLThjZDctNTU1OTMxMTc3Yjg4XkEyXkFqcGdeQXVyMjM4NTM5NDY@.jpg
18,18,18,18,Sebastiýýn Lelio,Daniela Vega,Francisco Reyes,unknown,Drama,a fantastic woman,7.1,https://m.media-amazon.com/images/M/MV5BNGJhNWM4ZjItYWRhYS00N2UzLTg3OWItOGEzOWFmMGQ1ZjlkXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg
19,19,19,19,Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman,Action Horror Thriller,armed,4.6,"https://m.media-amazon.com/images/M/MV5BMTEwOTY5MjkxMTVeQTJeQWpwZ15BbWU4MDEwMDI0NDUz._V1_SY150_CR0,0,101,150_.jpg.jpg"
20,20,20,20,Julius Onah,Daniel Brýýhl,Elizabeth Debicki,Aksel Hennie,Mystery Thriller Horror Science Fiction,the cloverfield paradox,5.6,"https://m.media-amazon.com/images/M/MV5BMTAwOTIxMDA0MjZeQTJeQWpwZ15BbWU4MDg1MjgzNzQz._V1_SY150_CR0,0,101,150_.jpg.jpg"
21,21,21,21,Will Gluck,James Corden,Domhnall Gleeson,Rose Byrne,Animation Adventure Family,peter rabbit,6.7,https://m.media-amazon.com/images/M/MV5BMzI5MzZmZjItOGQzZC00NjNiLWFjMjQtMGNhY2NmNDMyNGM1XkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg
22,22,22,22,James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger,Drama Romance,fifty shades freed,6.6,https://m.media-amazon.com/images/M/MV5BMTYxOTQ1MzI0Nl5BMl5BanBnXkFtZTgwMzgwMzIxNDM@.jpg
23,23,23,23,Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,Drama History Thriller,the 15:17 to paris,5.4,https://m.media-amazon.com/images/M/MV5BMTY0NjUzNjYwOV5BMl5BanBnXkFtZTgwMzY1MDM0NDM@.jpg
24,24,24,24,Marco Polo Constandse,Marco Polo Constandse (director); Omar Chaparro,Marimar Vega,Ryan Carnes,Comedy,la boda de valentina,5.9,https://m.media-amazon.com/images/M/MV5BOTc0ZDY0OGQtODM0Yi00YWQ4LTg1MzItMTU2NGFmZDQ1N2UyXkEyXkFqcGdeQXVyMjQ1MDk0MA@@.jpg
25,25,25,25,Surendra Poudel,Anmol K.C.,Aditi Budhathoki,Anoop Bikram Shahi,,kri,,https://m.media-amazon.com/images/M/MV5BYWMzZTc0ZTAtOGVlNi00NGE4LTg2MDQtOGNhZmZjNzZlZGYyXkEyXkFqcGdeQXVyNzQ3NTY5MjE@.jpg
26,26,26,26,Brian Crano,Rebecca Hall,Dan Stevens,Morgan Spector,Comedy Romance Drama,permission,5.1,https://m.media-amazon.com/images/M/MV5BODk4MWZhZTUtOGMxOC00NmIwLTk1NTEtYzJiODYzOTU0YWFlXkEyXkFqcGdeQXVyNDExMzMxNjE@.jpg
27,27,27,27,Holger Tappe,Emily Watson,Jason Isaacs,Nick Frost,,monster family,,https://m.media-amazon.com/images/M/MV5BMjIzNzUxMjMzNl5BMl5BanBnXkFtZTgwNzg0MTY2NDM@.jpg
28,28,28,28,Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Drama,golden exits,6.1,https://m.media-amazon.com/images/M/MV5BMTUyMTUxMzk2OF5BMl5BanBnXkFtZTgwODI5MjU3NDM@.jpg
29,29,29,29,Ryan Coogler,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Action Adventure Fantasy Science Fiction,black panther,7.4,https://m.media-amazon.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@.jpg
30,30,30,30,Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams,Family Comedy Animation Adventure,early man,6.1,https://m.media-amazon.com/images/M/MV5BYWMxYWVjNzAtMTY0YS00YWQyLWExMGItMjUxODkwYzQyNzMwXkEyXkFqcGdeQXVyMjMxOTE0ODA@.jpg
31,31,31,31,Andrey Zvyagintsev,Maryana Spivak,Alexei Rozin,Matvey Novikov,Drama,loveless,6.5,https://m.media-amazon.com/images/M/MV5BNjUzMDc1Y2ItY2NjNC00MGZkLThkZmEtNTUwNmQyNTdiNTJmXkEyXkFqcGdeQXVyNzUzNTQ2MjQ@.jpg
